global_index,out_height,age_height,norm_age,gnh_score
9554828,1922354,66729,0.0,0.0
9574751,1940603,48480,0.2736925776504642,0.2736925776504642
9598569,1961508,27575,0.587218981057936,0.587218981057936
9610901,1972909,16174,0.7582074778409347,0.7582074778409347
9616375,1977210,11873,0.8227124795656673,0.8227124795656673
9626000,1981493,7590,0.8869475231339142,0.8869475231339142
9627899,1983122,5961,0.9113787362958742,0.9113787362958742
9628669,1983819,5264,0.9218321160220165,0.9218321160220165
9629424,1984496,4587,0.9319855422409526,0.9319855422409526
9631905,1986857,2226,0.9673950537666661,0.9673950537666661
9633604,1988400,683,0.9905364668476386,0.9905364668476386
9633642,1988438,645,0.9911063785113308,0.9911063785113308
9633899,1988674,409,0.9946458298963661,0.9946458298963661
9634112,1988872,211,0.9976153696177092,0.9976153696177092
9634290,1989022,61,0.9998650209217571,0.9998650209217571
9634300,1989031,52,1.0,1.0
